What is the role of geographical zones in the MLTxQuest hierarchy? | Geographical zones categorize data and business domains by location within the MLTxQuest hierarchy.
Which geographical zones are included in the BEES Data Landing Zone (DLZ)? | The BEES Data Landing Zone (DLZ) includes the geographical zones AFR, APC, EUR, GHQ, MAZ, NAZ, and SAZ.
What Business domains are part of the NAZ geographical zone? | The NAZ geographical zone includes the Business domains sales and supply.
Which data assets are associated with the 'finops' Business domain? | The 'finops' Business domain is associated with the data asset dataquality.
Identify the parent DLZ of the geographical zone MAZ in the MLTxQuest hierarchy. | The parent DLZ of the geographical zone MAZ in the MLTxQuest hierarchy is BEES and GB.
What Business domain is included in the GLOBAL geographical zone? | The GLOBAL geographical zone includes the Business domain procurement.
What is the role of the 'intlog' Business domain within the INTLOG Zone? | Within the INTLOG Zone, the 'intlog' Business domain includes the data asset planning.
List some of the data assets under the 'commercial' Business domain. | The 'commercial' Business domain includes data assets such as bisdm_venta, bisdw, filebees, top_line, and vertica.
Which Business domain does the 'model' data asset belong to? | The 'model' data asset belongs to the Business domain data within the COMMON Zone.
Identify the parent DLZ of the geographical zone GHQ in the MLTxQuest hierarchy. | The parent DLZ of the geographical zone GHQ in the MLTxQuest hierarchy is INTLOG.
What geographical zones are included in the SUPCHN Data Landing Zone (DLZ)? | The SUPCHN Data Landing Zone (DLZ) includes the geographical zone GHQ.
Which Business domain is included in the COMMON geographical zone? | The COMMON geographical zone includes the Business domain data.
What Business domains are included in the SAZ geographical zone? | The SAZ geographical zone includes the Business domains cws, finance, logistics, masterdata, people, procurement, sales, supply, and tech.
Which data assets are associated with the 'cws' Business domain? | The 'cws' Business domain is associated with the data asset s4h.
Identify the parent DLZ of the geographical zone EUR in the MLTxQuest hierarchy. | The parent DLZ of the geographical zone EUR in the MLTxQuest hierarchy is BEES and GB.
What Business domains are part of the GHQ geographical zone under the INTLOG Data Landing Zone (DLZ)? | The GHQ geographical zone under the INTLOG Data Landing Zone (DLZ) includes Business domains such as finance, masterdata, people, procurement, sales, supply, tech, intlog.
